circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
banjara hills,green lands,greenlands,sanjeev reddy nagar,d.k.road apartments,domestic,1,976,940.0,180809.625,1969.69
banjara hills,green lands,greenlands,sanjeev reddy nagar,divyashakti apartments,domestic,1,357,347.0,67069.0,1310.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,esi quarters,domestic,1,348,216.0,21927.0,776.3
banjara hills,green lands,greenlands,sanjeev reddy nagar,gaythri nagr,domestic,1,344,336.0,60887.0,881.4
banjara hills,green lands,greenlands,sanjeev reddy nagar,grc hv s r nagar,domestic,1,26,24.0,4145.0,123.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,high value ameerpet,domestic,1,10,10.0,2813.0,95.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,highvalue sr nagar north,domestic,1,17,17.0,5262.0,106.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,i.g.puram,domestic,1,1021,954.0,132693.0,956.75
banjara hills,green lands,greenlands,sanjeev reddy nagar,leela nagar,domestic,1,1088,1055.0,180809.625,1969.69
banjara hills,green lands,greenlands,sanjeev reddy nagar,model colony apartments,domestic,1,559,555.0,153600.0,1969.69
banjara hills,green lands,greenlands,sanjeev reddy nagar,nabard quarters,domestic,1,175,171.0,25250.0,427.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,neemkar colony,domestic,1,1084,1063.0,180809.625,1853.12
banjara hills,green lands,greenlands,sanjeev reddy nagar,s r nagar north b type,domestic,1,239,232.0,48129.0,590.7
banjara hills,green lands,greenlands,sanjeev reddy nagar,s r nagar north ews,domestic,1,408,405.0,62909.0,717.83
banjara hills,green lands,greenlands,sanjeev reddy nagar,s.r.nagar (north),domestic,1,775,758.0,138754.0,1607.41
banjara hills,green lands,greenlands,sanjeev reddy nagar,s.r.nagar (south),domestic,1,761,728.0,143317.0,1895.27
banjara hills,green lands,greenlands,sanjeev reddy nagar,s.r.nagar(north) apts.,domestic,1,950,929.0,180809.625,1969.69
banjara hills,green lands,greenlands,sanjeev reddy nagar,scientific colony,domestic,1,862,832.0,142167.0,1598.05
banjara hills,green lands,greenlands,sanjeev reddy nagar,shiva bagh,domestic,1,290,285.0,64410.0,659.73
banjara hills,green lands,sanath nagar,sanathnagar,h.p.road,domestic,1,1370,1351.5,139041.0,1598.09
banjara hills,green lands,sanath nagar,sanathnagar,i.e.sanath nagar,domestic,1,727,726.0,180809.625,1969.69
banjara hills,green lands,sanath nagar,sanathnagar,jayaprakash nagar,domestic,1,931,930.0,137428.0,1478.57
banjara hills,green lands,sanath nagar,sanathnagar,kailash nagar,domestic,1,631,627.0,78697.0,857.85
banjara hills,green lands,sanath nagar,sanathnagar,kukatpally x roads,domestic,1,14,13.0,1993.0,32.0
banjara hills,green lands,sanath nagar,sanathnagar,moosapet,domestic,1,90,85.0,10118.0,168.29
banjara hills,green lands,sanath nagar,sanathnagar,nehru nagar,domestic,1,808,804.0,96475.0,1054.62
banjara hills,green lands,sanath nagar,sanathnagar,ravindra nagar,domestic,1,429,427.0,70415.0,765.19
banjara hills,green lands,sanath nagar,sanathnagar,s.r.t qrts near hylam,domestic,1,1486,1351.5,180809.625,1969.69
banjara hills,green lands,sanath nagar,sanathnagar,s.r.t.(near police stn),domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,green lands,sanath nagar,sanathnagar,s.r.t.qrts near busstop,domestic,1,1401,1351.5,180809.625,1969.69
banjara hills,green lands,sanath nagar,sanathnagar,s.r.t.quarters,domestic,1,1376,1351.5,180809.625,1969.69
banjara hills,green lands,sanath nagar,sanathnagar,sanath nagar,domestic,1,752,741.0,108946.0,1048.95
banjara hills,green lands,sanath nagar,sanathnagar,sivaji nagar,domestic,1,150,150.0,17172.0,171.69
banjara hills,green lands,sanath nagar,sanathnagar,subash nagar,domestic,1,1485,1351.5,178611.0,1814.31
banjara hills,green lands,sanath nagar,sanathnagar,subash nagar (west),domestic,1,583,578.0,91297.0,943.31
banjara hills,green lands,sanath nagar,sanathnagar,tulasi nagar,domestic,1,270,270.0,33672.0,297.18
banjara hills,green lands,greenlands,sanjeev reddy nagar,sona bai temple,domestic,1,355,353.0,58865.0,586.34
banjara hills,green lands,greenlands,sanjeev reddy nagar,srinivasa colony (east),domestic,1,646,615.0,131933.0,1821.7
banjara hills,green lands,greenlands,sanjeev reddy nagar,sriram nagar,domestic,1,1180,1157.0,180809.625,1969.69
banjara hills,green lands,greenlands,sanjeev reddy nagar,sundernagar model colony,domestic,1,465,410.0,71003.0,842.74
banjara hills,banjara hills,ameerpet,sri krishna nagar,a g colony,domestic,1,1030,927.0,56231.0,1241.58
banjara hills,banjara hills,ameerpet,sri krishna nagar,councellor  video lane,domestic,1,1358,1308.0,148836.0,1520.15
banjara hills,banjara hills,ameerpet,sri krishna nagar,grc high values,domestic,1,57,57.0,22442.0,696.0
banjara hills,banjara hills,ameerpet,sri krishna nagar,jawahar nagar saibaba tempel,domestic,1,1307,1289.0,151776.0,1593.82
banjara hills,banjara hills,ameerpet,sri krishna nagar,jawaharnagar,domestic,1,1499,1351.5,180809.625,1969.69
