circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SKD NAGAR,TEMPORARY SUPPLY,8,3,3.0,693.0,9.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SRINAGAR APARTMENTS,TEMPORARY SUPPLY,8,2,2.0,456.0,10.46
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SRINAGAR KESHAVNAGAR,TEMPORARY SUPPLY,8,1,1.0,368.0,8.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,STREET LIGHTS,TEMPORARY SUPPLY,8,1,,0.0,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,TEMP SUPPLY,TEMPORARY SUPPLY,8,22,7.0,4344.0,86.24
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,GAYATRI HILLS,TEMPORARY SUPPLY,8,2,2.0,563.0,10.6
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,GRC HIGH VALUES,TEMPORARY SUPPLY,8,6,6.0,9697.0,90.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,HYLAM COLONY,TEMPORARY SUPPLY,8,2,2.0,1682.0,11.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,KRISHNA NAGAR C BLOCK,TEMPORARY SUPPLY,8,1,1.0,356.0,5.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,KRISHNANAGAR C BLOCK,TEMPORARY SUPPLY,8,1,1.0,521.0,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,LAXMI NARSIMHA NAGAR,TEMPORARY SUPPLY,8,1,1.0,272.0,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,MARUTHI NAGAR,TEMPORARY SUPPLY,8,1,1.0,206.0,5.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,"MLA,MPS COLONY",TEMPORARY SUPPLY,8,7,6.0,1814.0,37.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,PRAGATHINAGAR-1,TEMPORARY SUPPLY,8,6,6.0,2270.0,23.0
